substrate,game_id,rerun_idx,go_essence,strategic_depth,non_triviality,strategic_diversity,rule_simplicity,wallclock_seconds,original_ge
menger,1fea3357dca4,0,0.223408,0.594346,1.000000,1.000000,0.253521,1160.4,0.210705
menger,1fea3357dca4,1,0.302822,0.680198,1.000000,0.666667,0.253521,822.7,0.210705
menger,1fea3357dca4,2,0.145126,0.646864,1.000000,0.333333,0.253521,819.5,0.210705
menger,1fea3357dca4,3,0.094551,0.611284,1.000000,0.666667,0.253521,826.3,0.210705
menger,1fea3357dca4,4,0.032669,0.551630,0.666667,0.333333,0.253521,827.7,0.210705
menger,1fea3357dca4,5,0.096217,0.679062,0.666667,0.333333,0.253521,840.7,0.210705
menger,1fea3357dca4,6,0.213034,0.742469,1.000000,0.333333,0.253521,815.5,0.210705
menger,1fea3357dca4,7,0.150566,0.595926,0.666667,1.000000,0.253521,809.1,0.210705
menger,1fea3357dca4,8,0.047863,0.633506,0.333333,0.333333,0.253521,836.1,0.210705
menger,1fea3357dca4,9,0.093371,0.678988,0.333333,1.000000,0.253521,831.2,0.210705
menger,1fea3357dca4,10,0.034027,0.646346,0.333333,0.666667,0.253521,833.0,0.210705
menger,1fea3357dca4,11,0.131391,0.662025,0.666667,0.666667,0.253521,824.7,0.210705
menger,1fea3357dca4,12,0.000000,0.599111,0.930949,0.000000,0.253521,841.3,0.210705
menger,1fea3357dca4,13,0.071704,0.655679,0.333333,0.666667,0.253521,841.2,0.210705
menger,1fea3357dca4,14,0.045563,0.648815,0.666667,0.000000,0.253521,821.8,0.210705
menger,1fea3357dca4,15,0.000000,0.640321,0.000000,0.666667,0.253521,813.7,0.210705
menger,1fea3357dca4,16,0.218645,0.651531,0.916515,0.666667,0.253521,823.5,0.210705
menger,1fea3357dca4,17,0.238564,0.699160,0.993311,0.666667,0.253521,827.9,0.210705
menger,1fea3357dca4,18,0.160377,0.720444,0.662207,0.333333,0.253521,838.0,0.210705
menger,1fea3357dca4,19,0.050225,0.670000,0.333333,0.333333,0.253521,823.0,0.210705
menger,4933727afb0b,0,0.111738,0.654691,0.662207,0.333333,0.253521,532.4,0.202877
menger,4933727afb0b,1,0.241204,0.741704,0.666667,1.000000,0.253521,537.9,0.202877
menger,4933727afb0b,2,0.054484,0.737284,0.333333,0.333333,0.253521,534.8,0.202877
menger,4933727afb0b,3,0.104216,0.717827,1.000000,0.666667,0.253521,532.4,0.202877
menger,4933727afb0b,4,0.041126,0.740716,0.666667,0.333333,0.253521,538.2,0.202877
menger,4933727afb0b,5,0.037254,0.693753,0.333333,0.333333,0.253521,534.0,0.202877
menger,4933727afb0b,6,0.062787,0.619259,0.333333,1.000000,0.253521,536.5,0.202877
menger,4933727afb0b,7,0.086955,0.616914,0.333333,1.000000,0.253521,538.7,0.202877
menger,4933727afb0b,8,0.216297,0.765284,1.000000,0.666667,0.253521,528.5,0.202877
menger,4933727afb0b,9,0.052284,0.702296,0.333333,0.333333,0.253521,534.1,0.202877
menger,4933727afb0b,10,0.119616,0.719383,0.657718,0.333333,0.253521,535.3,0.202877
menger,4933727afb0b,11,0.127631,0.656963,0.662207,1.000000,0.253521,528.1,0.202877
menger,4933727afb0b,12,0.115483,0.679235,0.666667,0.333333,0.253521,528.1,0.202877
menger,4933727afb0b,13,0.240066,0.744296,1.000000,0.333333,0.253521,532.5,0.202877
menger,4933727afb0b,14,0.069453,0.559704,0.657718,0.666667,0.253521,510.3,0.202877
menger,4933727afb0b,15,0.061864,0.743506,0.666667,0.333333,0.253521,319.5,0.202877
menger,4933727afb0b,16,0.154250,0.641333,0.666667,0.666667,0.253521,317.9,0.202877
menger,4933727afb0b,17,0.000000,0.661235,0.000000,0.333333,0.253521,320.9,0.202877
menger,4933727afb0b,18,0.145293,0.589012,0.666667,0.666667,0.253521,368.0,0.202877
menger,4933727afb0b,19,0.073124,0.762889,0.333333,1.000000,0.253521,346.6,0.202877
menger,579c865452cd,0,0.070894,0.611086,0.666667,0.333333,0.253521,487.4,0.166077
menger,579c865452cd,1,0.101064,0.681580,1.000000,0.666667,0.253521,494.0,0.166077
menger,579c865452cd,2,0.070581,0.642815,0.333333,0.666667,0.253521,488.4,0.166077
menger,579c865452cd,3,0.071652,0.655086,0.333333,0.666667,0.253521,486.6,0.166077
menger,579c865452cd,4,0.067101,0.573235,1.000000,0.000000,0.253521,473.6,0.166077
menger,579c865452cd,5,0.119486,0.710099,0.666667,0.333333,0.253521,508.2,0.166077
menger,579c865452cd,6,0.097723,0.692914,0.666667,0.333333,0.253521,509.9,0.166077
menger,579c865452cd,7,0.072722,0.667432,0.333333,0.666667,0.253521,527.2,0.166077
menger,579c865452cd,8,0.076317,0.709630,0.333333,0.666667,0.253521,522.7,0.166077
menger,579c865452cd,9,0.099429,0.561605,0.666667,0.333333,0.253521,524.4,0.166077
menger,579c865452cd,10,0.051408,0.641185,0.666667,0.666667,0.253521,519.1,0.166077
menger,579c865452cd,11,0.179657,0.793531,0.662207,0.333333,0.253521,531.5,0.166077
menger,579c865452cd,12,0.048807,0.648025,0.333333,0.333333,0.253521,532.2,0.166077
menger,579c865452cd,13,0.040867,0.738321,0.666667,0.000000,0.253521,519.3,0.166077
menger,579c865452cd,14,0.026202,0.689679,1.000000,0.000000,0.253521,530.4,0.166077
menger,579c865452cd,15,0.121953,0.595012,0.666667,0.666667,0.253521,525.4,0.166077
menger,579c865452cd,16,0.031200,0.580395,0.333333,0.666667,0.253521,525.7,0.166077
menger,579c865452cd,17,0.051505,0.653728,0.333333,0.666667,0.253521,527.6,0.166077
menger,579c865452cd,18,0.195123,0.722222,0.666667,0.666667,0.253521,536.7,0.166077
menger,579c865452cd,19,0.055590,0.755086,0.333333,0.333333,0.253521,533.2,0.166077
menger,bfd1bb7ced76,0,0.198693,0.671506,1.000000,0.333333,0.253521,334.9,0.190373
menger,bfd1bb7ced76,1,0.078294,0.740765,0.328859,0.666667,0.253521,326.0,0.190373
menger,bfd1bb7ced76,2,0.151146,0.606494,0.657718,1.000000,0.253521,337.1,0.190373
menger,bfd1bb7ced76,3,0.076796,0.715333,0.333333,0.666667,0.253521,323.9,0.190373
menger,bfd1bb7ced76,4,0.263004,0.693728,0.657718,1.000000,0.253521,352.8,0.190373
menger,bfd1bb7ced76,5,0.143601,0.755506,0.666667,0.666667,0.253521,317.4,0.190373
menger,bfd1bb7ced76,6,0.145430,0.783802,0.653197,0.666667,0.253521,327.7,0.190373
menger,bfd1bb7ced76,7,0.146415,0.757679,0.666667,0.333333,0.253521,319.7,0.190373
menger,bfd1bb7ced76,8,0.146573,0.758765,0.666667,0.333333,0.253521,311.1,0.190373
menger,bfd1bb7ced76,9,0.085074,0.772864,0.666667,0.000000,0.253521,306.7,0.190373
menger,bfd1bb7ced76,10,0.055340,0.480346,0.331104,0.666667,0.253521,306.1,0.190373
menger,bfd1bb7ced76,11,0.263553,0.688099,0.666667,1.000000,0.253521,311.8,0.190373
menger,bfd1bb7ced76,12,0.243152,0.760667,0.657718,1.000000,0.253521,314.3,0.190373
menger,bfd1bb7ced76,13,0.080165,0.722222,0.666667,0.000000,0.253521,315.2,0.190373
menger,bfd1bb7ced76,14,0.104778,0.797383,0.333333,1.000000,0.253521,312.3,0.190373
menger,bfd1bb7ced76,15,0.070204,0.621457,0.993311,0.333333,0.253521,306.3,0.190373
menger,bfd1bb7ced76,16,0.000000,0.557556,0.000000,0.333333,0.253521,304.4,0.190373
menger,bfd1bb7ced76,17,0.098755,0.605309,0.666667,0.666667,0.253521,305.8,0.190373
menger,bfd1bb7ced76,18,0.058074,0.762074,0.333333,0.666667,0.253521,301.6,0.190373
menger,bfd1bb7ced76,19,0.107725,0.560741,0.993311,1.000000,0.253521,302.5,0.190373
menger,d0d549703688,0,0.174647,0.539778,1.000000,0.666667,0.253521,596.0,0.188284
menger,d0d549703688,1,0.204141,0.697951,1.000000,0.333333,0.253521,581.9,0.188284
menger,d0d549703688,2,0.181570,0.783852,0.901850,0.333333,0.253521,1592.6,0.188284
menger,d0d549703688,3,0.061877,0.627086,0.666667,0.000000,0.253521,1008.9,0.188284
menger,d0d549703688,4,0.065935,0.661531,0.570899,0.000000,0.253521,973.7,0.188284
menger,d0d549703688,5,0.250219,0.603877,1.000000,0.666667,0.253521,1161.0,0.188284
menger,d0d549703688,6,0.086766,0.646099,1.000000,0.000000,0.253521,983.6,0.188284
menger,d0d549703688,7,0.000000,0.727506,0.000000,0.666667,0.253521,970.0,0.188284
menger,d0d549703688,8,0.000000,0.607926,0.000000,0.000000,0.253521,989.4,0.188284
menger,d0d549703688,9,0.028029,0.744198,0.586262,0.000000,0.253521,751.7,0.188284
menger,d0d549703688,10,0.043345,0.580000,0.322031,0.333333,0.253521,604.6,0.188284
menger,d0d549703688,11,0.068741,0.587753,0.666667,0.333333,0.253521,577.7,0.188284
menger,d0d549703688,12,0.175742,0.569901,0.993311,0.333333,0.253521,576.1,0.188284
menger,d0d549703688,13,0.199540,0.675580,1.000000,0.333333,0.253521,595.2,0.188284
menger,d0d549703688,14,0.069766,0.666864,0.333333,0.666667,0.253521,586.4,0.188284
menger,d0d549703688,15,0.251513,0.668346,0.816497,1.000000,0.253521,595.8,0.188284
menger,d0d549703688,16,0.080743,0.753728,0.634794,0.333333,0.253521,597.6,0.188284
menger,d0d549703688,17,0.043915,0.591877,0.319722,0.333333,0.253521,587.0,0.188284
menger,d0d549703688,18,0.137372,0.704000,1.000000,0.666667,0.253521,579.9,0.188284
menger,d0d549703688,19,0.157179,0.608765,1.000000,0.666667,0.253521,582.3,0.188284
menger,d182cfb9e65e,0,0.034762,0.578444,0.227710,0.333333,0.253521,649.3,0.167316
menger,d182cfb9e65e,1,0.023086,0.523185,0.277555,0.000000,0.253521,647.2,0.167316
menger,d182cfb9e65e,2,0.215619,0.589407,1.000000,0.666667,0.253521,1115.2,0.167316
menger,d182cfb9e65e,3,0.126162,0.485556,0.666667,0.666667,0.253521,1055.6,0.167316
menger,d182cfb9e65e,4,0.022429,0.493210,0.230940,0.333333,0.253521,969.9,0.167316
menger,d182cfb9e65e,5,0.230950,0.631383,1.000000,1.000000,0.253521,946.8,0.167316
menger,d182cfb9e65e,6,0.172127,0.715506,0.986577,0.666667,0.253521,933.5,0.167316
menger,d182cfb9e65e,7,0.129864,0.650889,0.666667,0.666667,0.253521,1781.3,0.167316
menger,d182cfb9e65e,8,0.171664,0.784025,0.666667,0.333333,0.253521,1692.7,0.167316
menger,d182cfb9e65e,9,0.133392,0.444395,0.879394,0.333333,0.253521,1018.4,0.167316
menger,d182cfb9e65e,10,0.106802,0.819556,0.333333,1.000000,0.253521,1132.0,0.167316
menger,d182cfb9e65e,11,0.049900,0.598395,0.474537,1.000000,0.253521,644.8,0.167316
menger,d182cfb9e65e,12,0.137806,0.605605,0.993311,0.333333,0.253521,550.8,0.167316
menger,d182cfb9e65e,13,0.044781,0.641086,0.295647,0.333333,0.253521,548.8,0.167316
menger,d182cfb9e65e,14,0.226488,0.587877,0.711805,0.666667,0.253521,546.4,0.167316
menger,d182cfb9e65e,15,0.120926,0.595037,0.662207,0.333333,0.253521,547.9,0.167316
menger,d182cfb9e65e,16,0.273042,0.647136,1.000000,1.000000,0.253521,545.5,0.167316
menger,d182cfb9e65e,17,0.294638,0.650074,1.000000,0.666667,0.253521,549.0,0.167316
menger,d182cfb9e65e,18,0.104529,0.798691,0.331104,1.000000,0.253521,568.0,0.167316
menger,d182cfb9e65e,19,0.021554,0.612346,0.333333,0.000000,0.253521,541.6,0.167316
menger,d970e5bd7c48,0,0.068888,0.669185,0.303071,0.666667,0.253521,627.5,0.165100
menger,d970e5bd7c48,1,0.306456,0.659284,1.000000,0.333333,0.253521,625.4,0.165100
menger,d970e5bd7c48,2,0.072106,0.601877,0.246456,1.000000,0.253521,632.5,0.165100
menger,d970e5bd7c48,3,0.174489,0.497333,0.848528,0.666667,0.253521,625.9,0.165100
menger,d970e5bd7c48,4,0.274027,0.667753,0.972968,1.000000,0.253521,639.6,0.165100
menger,d970e5bd7c48,5,0.107623,0.586691,0.555111,1.000000,0.253521,633.3,0.165100
menger,d970e5bd7c48,6,0.122762,0.677432,0.581187,0.333333,0.253521,625.7,0.165100
menger,d970e5bd7c48,7,0.129500,0.527778,0.632456,1.000000,0.253521,639.9,0.165100
menger,d970e5bd7c48,8,0.151148,0.622914,0.666667,0.666667,0.253521,646.1,0.165100
menger,d970e5bd7c48,9,0.371595,0.625457,0.879394,0.666667,0.253521,638.9,0.165100
menger,d970e5bd7c48,10,0.099138,0.664173,0.993311,0.666667,0.253521,635.3,0.165100
menger,d970e5bd7c48,11,0.055166,0.748247,0.333333,0.333333,0.253521,632.6,0.165100
menger,d970e5bd7c48,12,0.055104,0.589901,0.615840,0.000000,0.253521,619.1,0.165100
menger,d970e5bd7c48,13,0.093521,0.603407,1.000000,0.000000,0.253521,621.9,0.165100
menger,d970e5bd7c48,14,0.048026,0.636000,0.333333,0.333333,0.253521,639.5,0.165100
menger,d970e5bd7c48,15,0.206503,0.671951,0.800000,0.666667,0.253521,647.3,0.165100
menger,d970e5bd7c48,16,0.128704,0.655531,0.648645,0.333333,0.253521,638.0,0.165100
menger,d970e5bd7c48,17,0.212548,0.540765,0.757188,1.000000,0.253521,640.7,0.165100
menger,d970e5bd7c48,18,0.204514,0.596790,0.993311,0.333333,0.253521,926.7,0.165100
menger,d970e5bd7c48,19,0.000000,0.655284,0.000000,1.000000,0.253521,915.6,0.165100
menger,e1453dac5445,0,0.074125,0.799901,1.000000,0.000000,0.253521,302.0,0.181013
menger,e1453dac5445,1,0.265606,0.696963,0.666667,1.000000,0.253521,295.9,0.181013
menger,e1453dac5445,2,0.246001,0.767062,0.666667,1.000000,0.253521,299.7,0.181013
menger,e1453dac5445,3,0.238573,0.679160,0.986577,1.000000,0.253521,301.6,0.181013
menger,e1453dac5445,4,0.105589,0.742000,0.986577,0.333333,0.253521,306.0,0.181013
menger,e1453dac5445,5,0.023147,0.539284,0.666667,0.000000,0.253521,307.8,0.181013
menger,e1453dac5445,6,0.171452,0.741259,0.666667,0.333333,0.253521,325.6,0.181013
menger,e1453dac5445,7,0.072235,0.769457,0.322031,1.000000,0.253521,310.7,0.181013
menger,e1453dac5445,8,0.282545,0.738494,1.000000,0.666667,0.253521,300.6,0.181013
menger,e1453dac5445,9,0.080005,0.765679,0.326599,0.666667,0.253521,310.4,0.181013
menger,e1453dac5445,10,0.434013,0.721556,0.993311,0.666667,0.253521,314.7,0.181013
menger,e1453dac5445,11,0.215565,0.755457,1.000000,0.333333,0.253521,311.6,0.181013
menger,e1453dac5445,12,0.000000,0.759531,0.000000,0.333333,0.253521,345.2,0.181013
menger,e1453dac5445,13,0.237642,0.751728,0.662207,0.666667,0.253521,358.0,0.181013
menger,e1453dac5445,14,0.173672,0.758370,0.662207,0.333333,0.253521,327.9,0.181013
menger,e1453dac5445,15,0.208672,0.617605,0.666667,0.666667,0.253521,335.1,0.181013
menger,e1453dac5445,16,0.079793,0.673802,0.666667,0.666667,0.253521,333.1,0.181013
menger,e1453dac5445,17,0.199021,0.748321,0.662207,0.666667,0.253521,350.1,0.181013
menger,e1453dac5445,18,0.231391,0.660494,1.000000,0.666667,0.253521,332.8,0.181013
menger,e1453dac5445,19,0.210655,0.626000,0.666667,0.666667,0.253521,333.6,0.181013
menger,e52e8889517a,0,0.166816,0.723580,0.662207,0.666667,0.253521,515.6,0.203131
menger,e52e8889517a,1,0.169857,0.691210,1.000000,0.666667,0.253521,516.4,0.203131
menger,e52e8889517a,2,0.247596,0.740395,1.000000,0.666667,0.253521,516.3,0.203131
menger,e52e8889517a,3,0.139087,0.753235,0.666667,1.000000,0.253521,521.1,0.203131
menger,e52e8889517a,4,0.034315,0.457160,0.331104,0.333333,0.253521,516.0,0.203131
menger,e52e8889517a,5,0.106297,0.740222,1.000000,0.333333,0.253521,511.0,0.203131
menger,e52e8889517a,6,0.345414,0.794296,0.993311,1.000000,0.253521,513.0,0.203131
menger,e52e8889517a,7,0.131963,0.693679,0.662207,1.000000,0.253521,515.7,0.203131
menger,e52e8889517a,8,0.050477,0.677333,0.331104,0.333333,0.253521,511.7,0.203131
menger,e52e8889517a,9,0.134937,0.688346,0.666667,0.666667,0.253521,514.6,0.203131
menger,e52e8889517a,10,0.209916,0.726593,1.000000,0.666667,0.253521,510.0,0.203131
menger,e52e8889517a,11,0.101287,0.763827,0.331104,1.000000,0.253521,515.1,0.203131
menger,e52e8889517a,12,0.123169,0.726444,1.000000,0.000000,0.253521,510.4,0.203131
menger,e52e8889517a,13,0.139853,0.760346,0.666667,1.000000,0.253521,513.3,0.203131
menger,e52e8889517a,14,0.328943,0.734148,0.993311,0.333333,0.253521,520.0,0.203131
menger,e52e8889517a,15,0.000000,0.742741,0.000000,0.666667,0.253521,516.1,0.203131
menger,e52e8889517a,16,0.159192,0.539852,0.666667,0.666667,0.253521,509.9,0.203131
menger,e52e8889517a,17,0.019891,0.807753,0.328859,0.000000,0.253521,516.7,0.203131
menger,e52e8889517a,18,0.077687,0.726000,0.333333,0.666667,0.253521,513.3,0.203131
menger,e52e8889517a,19,0.064689,0.662914,0.662207,0.000000,0.253521,522.2,0.203131
